Date,High,Low,Mid,Last,Bid,Ask,Volume,First
2021-04-22,0.31019,0.2542,0.263865,0.26612,0.26339,0.26434,39148061.68079271,0.30876
2021-04-23,0.26808,0.17949,0.243185,0.24357,0.24295,0.24342,71696831.83517075,0.26612
2021-04-24,0.29,0.2289,0.27064,0.2716,0.27035,0.27093,36720388.2750171,0.24357
2021-04-25,0.2894,0.22532,0.25075,0.25088,0.25035,0.25115,15298390.58727593,0.2716
2021-04-26,0.28066,0.248,0.26923,0.26911,0.26893,0.26953,19695685.87445109,0.25088
2021-04-27,0.28008,0.26508,0.271455,0.27121,0.27123,0.27168,12800312.71500599,0.26911
2021-04-28,0.34471,0.25594,0.31829,0.31883,0.31807,0.31851,42950623.56540682,0.27121
2021-04-29,0.32635,0.29628,0.30803,0.30837,0.30774,0.30832,13930279.41269487,0.31883
2021-04-30,0.33954,0.30272,0.33548,0.33579,0.33539,0.33557,10828122.55516993,0.30837
2021-05-01,0.39206,0.32782,0.382835,0.38282,0.38242,0.38325,20007991.1316022,0.33579
2021-05-02,0.39976,0.362,0.38229,0.38258,0.38195,0.38263,17484410.37294091,0.38282
2021-05-03,0.44684,0.3726,0.44418,0.444,0.44369,0.44467,17062808.38124538,0.38258
2021-05-04,0.60889,0.3973,0.55104,0.55147,0.55043,0.55165,91931975.2236514,0.444
2021-05-05,0.695,0.532,0.661735,0.66289,0.66109,0.66238,107560494.92333075,0.55147
2021-05-06,0.67327,0.54238,0.59119,0.59184,0.59066,0.59172,40974472.61215654,0.66289
2021-05-07,0.73478,0.51733,0.69271,0.69246,0.69171,0.69371,89683830.2401984,0.59184
2021-05-08,0.74146,0.60077,0.64663,0.64708,0.64617,0.64709,104852178.32071465,0.69246
2021-05-09,0.6999,0.42393,0.570265,0.57056,0.56955,0.57098,254985157.68260852,0.64708
2021-05-10,0.58323,0.4224,0.45342,0.45337,0.45313,0.45371,92272784.2507716,0.57056
2021-05-11,0.54678,0.43494,0.499055,0.49851,0.49851,0.4996,78043721.63901436,0.45337
2021-05-12,0.52184,0.43126,0.457445,0.45785,0.45711,0.45778,47462315.86329923,0.49851
2021-05-13,0.51926,0.36131,0.496815,0.49558,0.49588,0.49775,129575391.08839624,0.45785
2021-05-14,0.59093,0.46463,0.5609,0.56128,0.5605,0.5613,111063420.58914289,0.49558
2021-05-15,0.5711,0.49139,0.510675,0.50944,0.51004,0.51131,44119697.98476645,0.56128
2021-05-16,0.5498,0.45196,0.5008,0.50207,0.50018,0.50142,39558193.99246836,0.50944
2021-05-17,0.52085,0.45839,0.48176,0.48244,0.48142,0.4821,40712748.64150939,0.50207
2021-05-18,0.51516,0.46944,0.474935,0.47515,0.47472,0.47515,24502186.85175479,0.48244
2021-05-19,0.47954,0.22584,0.34801,0.34625,0.34739,0.34863,232839846.7570971,0.47515
2021-05-20,0.43472,0.29513,0.40405,0.40499,0.40372,0.40438,85654884.30292249,0.34625
2021-05-21,0.41246,0.31478,0.36008,0.36057,0.35981,0.36035,57049364.11858297,0.40499
2021-05-22,0.36531,0.31781,0.349525,0.34986,0.3494,0.34965,20596328.2966347,0.36057
2021-05-23,0.352,0.24957,0.30342,0.30306,0.30307,0.30377,73400752.04546171,0.34986
2021-05-24,0.37598,0.29594,0.35869,0.35876,0.35862,0.35876,45750424.60894924,0.30306
2021-05-25,0.38,0.32318,0.34805,0.34825,0.34785,0.34825,36569720.86960279,0.35876
2021-05-26,0.36776,0.33747,0.349135,0.34959,0.34896,0.34931,15709175.65130038,0.34825
2021-05-27,0.355,0.32724,0.332275,0.33187,0.33208,0.33247,11224713.7934182,0.34959
2021-05-28,0.34782,0.30031,0.307645,0.30729,0.3074,0.30789,23330717.57680804,0.33187
2021-05-29,0.31804,0.28,0.297605,0.29763,0.29738,0.29783,11510442.65516738,0.30729
2021-05-30,0.31072,0.28621,0.303125,0.30303,0.30293,0.30332,4495381.42137326,0.29763
2021-05-31,0.33,0.29382,0.32526,0.32549,0.32503,0.32549,6818426.91233231,0.30303
2021-06-01,0.37819,0.31085,0.37675,0.37561,0.37633,0.37717,23056290.67988303,0.32549
2021-06-02,0.44689,0.35142,0.42744,0.42777,0.42712,0.42776,54999878.34896087,0.37561
2021-06-03,0.44149,0.37727,0.394965,0.39468,0.39467,0.39526,33652326.75336221,0.42777
2021-06-04,0.40243,0.3502,0.374715,0.37429,0.37431,0.37512,34585553.42529269,0.39468
2021-06-05,0.39501,0.36038,0.370705,0.37011,0.3704,0.37101,14721782.1935802,0.37429
2021-06-06,0.37699,0.3666,0.37081,0.37108,0.37057,0.37105,5935826.27839009,0.37011
2021-06-07,0.38,0.33038,0.33881,0.33903,0.33859,0.33903,21810093.95641415,0.37108
2021-06-08,0.3417,0.29638,0.331795,0.33195,0.33164,0.33195,24393733.16703717,0.33903
2021-06-09,0.35424,0.31282,0.34391,0.3441,0.34372,0.3441,13452448.23573818,0.33195
2021-06-10,0.34582,0.32237,0.329035,0.32912,0.32883,0.32924,6266681.76114448,0.3441
2021-06-11,0.33404,0.31057,0.31704,0.3167,0.31689,0.31719,6598745.72334608,0.32912
2021-06-12,0.32074,0.3008,0.31431,0.31454,0.31405,0.31457,4884584.29957394,0.3167
2021-06-13,0.33036,0.30748,0.32111,0.32136,0.32086,0.32136,8098427.2080998,0.31454
2021-06-14,0.3378,0.31981,0.32618,0.32641,0.32599,0.32637,7608278.92884934,0.32136
2021-06-15,0.33052,0.31636,0.320645,0.32081,0.32048,0.32081,5482092.89211533,0.32641
2021-06-16,0.32141,0.30499,0.3078,0.3072,0.30759,0.30801,9081485.51244833,0.32081
2021-06-17,0.31401,0.30243,0.306975,0.30676,0.30676,0.30719,3874914.99201777,0.3072
2021-06-18,0.30777,0.27984,0.29124,0.2911,0.29105,0.29143,8293926.58727488,0.30676
2021-06-19,0.29831,0.28598,0.288685,0.28885,0.2885,0.28887,2658073.11614653,0.2911
2021-06-20,0.2906,0.25558,0.282825,0.28254,0.2826,0.28305,11064687.3858874,0.28885
2021-06-21,0.28377,0.166,0.1821,0.18167,0.18174,0.18246,49244596.18691151,0.28254
2021-06-22,0.21724,0.16422,0.19,0.19007,0.18985,0.19015,77795538.8163322,0.18167
2021-06-23,0.24871,0.18071,0.23027,0.22992,0.23004,0.2305,50125350.02055345,0.19007
2021-06-24,0.26946,0.22194,0.262515,0.26245,0.26236,0.26267,29762160.86686719,0.22992
2021-06-25,0.28976,0.22856,0.239985,0.23963,0.23984,0.24013,88493356.0723229,0.26245
2021-06-26,0.25526,0.2306,0.24148,0.24167,0.24131,0.24165,27487882.20877999,0.23963
2021-06-27,0.25453,0.23953,0.25243,0.25222,0.25224,0.25262,19529278.01646929,0.24167
2021-06-28,0.26773,0.25055,0.254305,0.25459,0.25407,0.25454,15695962.72533879,0.25222
2021-06-29,0.27567,0.25242,0.262985,0.26269,0.26269,0.26328,9754442.15091971,0.25459
2021-06-30,0.26547,0.24648,0.25334,0.25346,0.25313,0.25355,13529294.30505085,0.26269
2021-07-01,0.26102,0.2375,0.24524,0.24514,0.24507,0.24541,30455103.23420298,0.25346
2021-07-02,0.24939,0.23824,0.245375,0.24563,0.24512,0.24563,5850508.84257852,0.24514
2021-07-03,0.25033,0.242,0.24448,0.24468,0.24427,0.24469,2171837.89574594,0.24563
2021-07-04,0.25348,0.24333,0.24588,0.24555,0.2457,0.24606,2483110.0122237,0.24468
2021-07-05,0.24754,0.22602,0.235065,0.23496,0.23492,0.23521,9143074.23709806,0.24555
2021-07-06,0.24207,0.22922,0.23404,0.2341,0.2339,0.23418,5897511.69081956,0.23496
2021-07-07,0.23889,0.22075,0.223235,0.22351,0.22296,0.22351,5166978.57620969,0.2341
2021-07-08,0.22507,0.20086,0.20611,0.20627,0.20594,0.20628,6408460.6038491,0.22351
2021-07-09,0.22922,0.19473,0.220025,0.22004,0.21979,0.22026,14923272.30688386,0.20627
2021-07-10,0.22802,0.20951,0.215015,0.21521,0.21484,0.21519,6347688.39328582,0.22004
2021-07-11,0.219,0.21051,0.216395,0.21655,0.21624,0.21655,2665967.38986166,0.21521
2021-07-12,0.21909,0.2036,0.20827,0.20817,0.20817,0.20837,4265913.59606573,0.21655
2021-07-13,0.2094,0.1973,0.19932,0.19954,0.19912,0.19952,8191114.06115605,0.20817
2021-07-14,0.20465,0.18723,0.19738,0.19726,0.19733,0.19743,3837574.58630546,0.19954
2021-07-15,0.20105,0.1805,0.18577,0.18605,0.1856,0.18594,5473430.1277178,0.19726
2021-07-16,0.18852,0.17365,0.174815,0.17483,0.17471,0.17492,9903427.94687463,0.18605
2021-07-17,0.20533,0.16893,0.18579,0.1857,0.18557,0.18601,48355858.13589522,0.17483
2021-07-18,0.19631,0.18032,0.18136,0.18147,0.18119,0.18153,16000122.56271667,0.1857
2021-07-19,0.18467,0.17045,0.17456,0.17444,0.17437,0.17475,6136485.07753088,0.18147
2021-07-20,0.17993,0.16,0.16887,0.16898,0.16876,0.16898,11276242.37150215,0.17444
2021-07-21,0.21446,0.16837,0.189245,0.18922,0.18914,0.18935,89807266.49395066,0.16898
2021-07-22,0.19655,0.18649,0.190715,0.19073,0.19057,0.19086,14375261.78094097,0.18922
2021-07-23,0.19993,0.18329,0.19264,0.1926,0.19253,0.19275,11058460.61293036,0.19073
2021-07-24,0.2049,0.19125,0.19526,0.19538,0.19513,0.19539,17159398.40690008,0.1926
2021-07-25,0.20079,0.1912,0.19609,0.19593,0.19593,0.19625,8140785.73689267,0.19538
2021-07-26,0.23338,0.19532,0.20567,0.20537,0.20556,0.20578,45451148.94206776,0.19593
2021-07-27,0.20953,0.19507,0.204795,0.20496,0.20465,0.20494,12644307.59884247,0.20537
2021-07-28,0.21388,0.20166,0.204825,0.20473,0.20469,0.20496,11953002.74661728,0.20496
2021-07-29,0.2065,0.20021,0.204595,0.20473,0.20447,0.20472,4380482.38628453,0.20473
2021-07-30,0.21074,0.19618,0.207425,0.20746,0.20729,0.20756,12687349.93349274,0.20473
2021-07-31,0.21462,0.20405,0.2093,0.2091,0.20919,0.20941,10155276.95249063,0.20746
2021-08-01,0.21783,0.20585,0.207645,0.20754,0.20754,0.20775,14319249.03057486,0.2091
2021-08-02,0.20997,0.2015,0.20503,0.20515,0.20488,0.20518,13000773.019595841,0.20754
2021-08-03,0.20506,0.19341,0.19729,0.19738,0.1972,0.19738,5284494.42781404,0.20515
2021-08-04,0.2033,0.19412,0.201215,0.20131,0.2011,0.20133,4569188.54645282,0.19738
2021-08-05,0.20272,0.19454,0.20187,0.20174,0.20174,0.202,8570659.69185372,0.20131
2021-08-06,0.2118,0.19848,0.20569,0.20598,0.20555,0.20583,8495773.43232562,0.20174
2021-08-07,0.25287,0.2036,0.2493,0.24945,0.24915,0.24945,58427203.40677802,0.20598
2021-08-08,0.28375,0.23501,0.24572,0.24561,0.24554,0.2459,99857210.31120597,0.24945
2021-08-09,0.26643,0.23164,0.25693,0.2568,0.2567,0.25716,82369980.26873335,0.24561
2021-08-10,0.26338,0.245,0.25521,0.25553,0.25499,0.25543,23163926.56408841,0.2568
2021-08-11,0.28291,0.254,0.26625,0.26584,0.26601,0.26649,55629405.50696028,0.25553
2021-08-12,0.29504,0.25217,0.261905,0.26224,0.2617,0.26211,76596553.60570657,0.26584
2021-08-13,0.28459,0.26006,0.2828,0.28294,0.28265,0.28295,36069443.38821227,0.26224
2021-08-14,0.2985,0.2761,0.2907,0.29069,0.29046,0.29094,28296746.91828857,0.28294
2021-08-15,0.34982,0.28631,0.33998,0.34006,0.33971,0.34025,56292071.67330664,0.29069
2021-08-16,0.352,0.31015,0.322005,0.32155,0.32168,0.32233,34349581.18843704,0.34006
2021-08-17,0.34005,0.29435,0.303245,0.30303,0.30303,0.30346,47316329.64870378,0.32155
2021-08-18,0.32546,0.27742,0.30797,0.30822,0.30773,0.30821,64867430.52334582,0.30303
2021-08-19,0.3195,0.29397,0.31401,0.31385,0.31382,0.3142,23995066.57884368,0.30822
2021-08-20,0.33392,0.31377,0.3245,0.32397,0.32436,0.32464,30534245.04790203,0.31385
2021-08-21,0.32981,0.31411,0.319945,0.32054,0.31978,0.32011,15848029.98376823,0.32397
2021-08-22,0.3238,0.30489,0.315395,0.31541,0.31538,0.31541,19176769.37442484,0.32054
2021-08-23,0.3281,0.31278,0.31848,0.31851,0.31832,0.31864,16698115.01864492,0.31541
2021-08-24,0.31991,0.27627,0.295485,0.29558,0.29539,0.29558,31524374.31553953,0.31851
2021-08-25,0.29704,0.2795,0.29195,0.29194,0.29186,0.29204,21627897.87759776,0.29558
2021-08-26,0.29607,0.26434,0.271905,0.27173,0.2718,0.27201,25856643.68876827,0.29194
2021-08-27,0.29509,0.26485,0.293925,0.29383,0.29392,0.29393,21874993.48170715,0.27173
2021-08-28,0.29948,0.28307,0.28509,0.28495,0.285,0.28518,8579891.47593625,0.29383
2021-08-29,0.29206,0.2765,0.28226,0.28242,0.28214,0.28238,7784372.71471141,0.28495
2021-08-30,0.2906,0.27149,0.27311,0.27319,0.27301,0.27321,11547991.83025936,0.28242
2021-08-31,0.28628,0.2699,0.277005,0.277,0.27698,0.27703,13721942.32916975,0.27319
2021-09-01,0.29411,0.273,0.29216,0.29199,0.29198,0.29234,19638395.54575958,0.277
2021-09-02,0.30972,0.29106,0.297655,0.29786,0.29765,0.29766,37818281.03910112,0.29199
2021-09-03,0.30475,0.28753,0.293625,0.29354,0.29354,0.29371,28568730.61622597,0.29786
2021-09-04,0.30881,0.29289,0.29872,0.29909,0.29865,0.29879,32987303.8473765,0.29354
2021-09-05,0.31433,0.29591,0.31307,0.31302,0.31301,0.31313,40639818.26366517,0.29909
2021-09-06,0.3198,0.30044,0.30738,0.30759,0.3073,0.30746,62638965.84197849,0.31302
2021-09-07,0.31133,0.21,0.25085,0.25074,0.25079,0.25091,136015729.49801415,0.30759
2021-09-08,0.26312,0.23387,0.25831,0.25802,0.25817,0.25845,63791894.1504322,0.25074
2021-09-09,0.25967,0.24875,0.25442,0.25456,0.25437,0.25447,39028494.82958028,0.25802
2021-09-10,0.26224,0.23542,0.238455,0.23854,0.23845,0.23846,35980543.02624643,0.25456
2021-09-11,0.24808,0.23772,0.24015,0.24016,0.24012,0.24018,48682069.48669427,0.23854
2021-09-12,0.25506,0.23891,0.25448,0.25442,0.25442,0.25454,26116235.87520551,0.24016
2021-09-13,0.25509,0.2281,0.23647,0.23641,0.23635,0.23659,27668034.35495969,0.25442
2021-09-14,0.2418,0.23373,0.239795,0.23982,0.23977,0.23982,10402572.30241354,0.23641
2021-09-15,0.2483,0.23893,0.247665,0.24757,0.24757,0.24776,10296237.22363236,0.23982
2021-09-16,0.24796,0.23347,0.23981,0.2396,0.23979,0.23983,12367529.28045955,0.24757
2021-09-17,0.25992,0.23758,0.239745,0.23972,0.23968,0.23981,25706350.16769317,0.2396
2021-09-18,0.24756,0.23802,0.241265,0.2413,0.24115,0.24138,13089091.17083564,0.23972
2021-09-19,0.24186,0.23068,0.231375,0.23125,0.23134,0.23141,8478261.79153629,0.2413
2021-09-20,0.23349,0.19918,0.2071,0.20725,0.20709,0.20711,41087960.47934615,0.23125
2021-09-21,0.21849,0.1979,0.20171,0.20198,0.2016,0.20182,42067103.69250459,0.20725
2021-09-22,0.23059,0.19757,0.22475,0.2249,0.2247,0.2248,31291964.22224868,0.20198
2021-09-23,0.22737,0.21759,0.22303,0.22311,0.22296,0.2231,10516473.29092173,0.2249
2021-09-24,0.22898,0.19682,0.20972,0.20962,0.20964,0.2098,26260177.72682009,0.22311
2021-09-25,0.21306,0.20444,0.208025,0.20801,0.208,0.20805,8019632.18348387,0.20962
2021-09-26,0.21038,0.19424,0.204635,0.20453,0.20456,0.20471,13371775.18727444,0.20801
2021-09-27,0.20955,0.20032,0.20185,0.20186,0.20179,0.20191,5079558.99061001,0.20453
2021-09-28,0.20279,0.19678,0.19834,0.19859,0.19832,0.19836,5097515.48010048,0.20186
2021-09-29,0.20437,0.19461,0.197305,0.1973,0.19729,0.19732,10773968.96575227,0.19859
2021-09-30,0.20594,0.19691,0.203545,0.20356,0.20354,0.20355,10198340.67672153,0.1973
2021-10-01,0.22573,0.20173,0.22074,0.22086,0.22067,0.22081,15241088.03131365,0.20356
2021-10-02,0.225,0.21507,0.22244,0.22252,0.22236,0.22252,12188423.46814219,0.22086
2021-10-03,0.22674,0.21568,0.22037,0.22032,0.22028,0.22046,12063471.6434899,0.22252
2021-10-04,0.24813,0.21259,0.248045,0.2477,0.24791,0.24818,50419700.70441512,0.22032
2021-10-05,0.26836,0.23265,0.252785,0.25285,0.25269,0.25288,44412560.77685207,0.2477
2021-10-06,0.2718,0.24228,0.251485,0.25119,0.25138,0.25159,44933823.01978725,0.25285
2021-10-07,0.25697,0.23591,0.242835,0.24281,0.24275,0.24292,32858372.55326398,0.25119
2021-10-08,0.25513,0.24118,0.244185,0.24412,0.24411,0.24426,18519054.12795831,0.24281
2021-10-09,0.25278,0.24058,0.24766,0.24774,0.24758,0.24774,15332353.30913627,0.24412
2021-10-10,0.24871,0.22622,0.23173,0.23177,0.23167,0.23179,22028791.98904409,0.24774
2021-10-11,0.23933,0.22512,0.22987,0.22996,0.22979,0.22995,13677411.84183365,0.23177
2021-10-12,0.23156,0.21614,0.226375,0.22632,0.22625,0.2265,24016643.82007053,0.22996
2021-10-13,0.23408,0.22067,0.232335,0.23226,0.23226,0.23241,6884251.0285404,0.22632
2021-10-14,0.24017,0.23119,0.23335,0.23338,0.23329,0.23341,13027126.45476168,0.23226
2021-10-15,0.24363,0.22401,0.234185,0.23419,0.23418,0.23419,22874132.30832987,0.23338
