Date,High,Low,Mid,Last,Bid,Ask,Volume,First
2017-01-01,8.3515,8.0,8.047,8.002,8.037,8.057,63029.13187905,
2017-01-02,8.5868,8.03,8.21445,8.196,8.2,8.2289,49123.00087797,8.002
2017-01-03,8.5,8.114,8.3852,8.4292,8.353,8.4174,31925.40537612,8.196
2017-01-04,9.9,8.3,9.6649,9.661,9.662,9.6678,189971.51946871,8.4292
2017-01-05,11.15,9.44,11.095,11.075,11.062,11.128,174919.12409764,9.661
2017-01-06,11.7,9.2,10.2535,10.294,10.215,10.292,223404.28974856,11.075
2017-01-07,10.401,9.4726,10.093,10.1,10.086,10.1,49431.17923467,10.294
2017-01-08,10.19,9.48,9.832,9.8129,9.799,9.865,37809.57232423,10.1
2017-01-09,10.475,9.796,10.338,10.29,10.317,10.359,38070.74283538,9.8129
2017-01-10,10.839,9.5004,10.345,10.343,10.311,10.379,67864.31866905,10.29
2017-01-11,10.75,10.2,10.5475,10.522,10.522,10.573,47267.88976891,10.343
2017-01-12,10.696,9.41,9.68995,9.7,9.6799,9.7,67612.33876907,10.522
2017-01-13,10.039,9.082,9.72235,9.7183,9.7189,9.7258,40696.60451487,9.7
2017-01-14,9.8,9.376,9.6915,9.699,9.675,9.708,12732.9407451,9.7183
2017-01-15,9.8741,9.507,9.659,9.679,9.6141,9.7039,7070.19738962,9.699
2017-01-16,9.834,9.614,9.7474,9.728,9.727,9.7678,4844.02365505,9.679
2017-01-17,9.779,9.53,9.55245,9.53,9.531,9.5739,5687.29970831,9.728
2017-01-18,10.595,9.533,10.238,10.292,10.203,10.273,109540.27353068,9.53
2017-01-19,10.49,9.7357,10.244,10.222,10.221,10.267,41017.62467444,10.292
2017-01-20,10.514,10.152,10.408,10.42,10.393,10.423,15568.88029125,10.222
2017-01-21,10.752,10.297,10.6435,10.64,10.64,10.647,26154.45555989,10.42
2017-01-22,11.092,10.561,10.941,10.95,10.932,10.95,46137.4963328,10.64
2017-01-23,10.977,10.339,10.6515,10.664,10.626,10.677,51271.1282563,10.95
2017-01-24,10.827,10.589,10.7105,10.744,10.704,10.717,14746.3979336,10.664
2017-01-25,10.752,10.463,10.5515,10.579,10.51,10.593,43584.21177892,10.744
2017-01-26,10.579,10.351,10.4675,10.494,10.441,10.494,9038.5189908,10.579
2017-01-27,10.63,10.427,10.54,10.58,10.503,10.577,26108.82092881,10.494
2017-01-28,10.58,10.356,10.4785,10.453,10.454,10.503,18667.59726139,10.58
2017-01-29,10.54,10.35,10.524,10.54,10.508,10.54,40315.89573967,10.453
2017-01-30,10.545,10.376,10.4285,10.456,10.401,10.456,11409.72945575,10.54
2017-01-31,10.686,10.376,10.5135,10.5,10.5,10.527,43041.5366288,10.456
2017-02-01,10.736,10.377,10.68,10.612,10.653,10.707,88696.78003281,10.5
2017-02-02,10.767,10.41,10.6675,10.673,10.652,10.683,39184.32686477,10.612
2017-02-03,10.84,10.527,10.7595,10.74,10.74,10.779,48586.99792648,10.673
2017-02-04,11.043,10.55,11.0145,11.0,11.0,11.029,41009.22415624,10.74
2017-02-05,11.4,10.941,11.3055,11.32,11.28,11.331,50803.04803737,11.0
2017-02-06,11.367,11.054,11.124,11.133,11.101,11.147,14328.34079945,11.32
2017-02-07,11.326,11.123,11.29,11.28,11.27,11.31,20975.19018287,11.133
2017-02-08,11.5,11.253,11.4345,11.438,11.43,11.439,39015.52487874,11.28
2017-02-09,11.6,11.0,11.2915,11.3,11.283,11.3,31581.14743402,11.438
2017-02-10,11.511,10.409,10.9195,10.923,10.892,10.947,84661.38584575,11.3
2017-02-11,11.39,10.75,11.296,11.29,11.28,11.312,50654.32233021,10.923
2017-02-12,11.38,11.125,11.2875,11.37,11.263,11.312,25917.15665452,11.29
2017-02-13,11.397,11.221,11.305,11.264,11.277,11.333,9442.86292755,11.37
2017-02-14,11.374,11.05,11.3185,11.32,11.317,11.32,23367.26441978,11.264
2017-02-15,13.4,11.317,13.077,13.15,13.026,13.128,218690.52483185,11.32
2017-02-16,13.15,12.59,12.9375,12.92,12.925,12.95,108535.13791238,13.15
2017-02-17,12.993,12.57,12.885,12.921,12.87,12.9,39823.34160509,12.92
