Date,High,Low,Mid,Last,Bid,Ask,Volume,First
2021-09-20,0.0,0.0,1.21,1.21,1.21,1.21,0.1,
2021-09-21,1.1895,1.0178,1.04215,1.0405,1.0418,1.0425,275226.3534519,1.21
2021-09-22,1.2192,1.0314,1.2101,1.205,1.2097,1.2105,1069778.8596754,1.0405
2021-09-23,1.2411,1.181,1.2177,1.2138,1.2172,1.2182,427188.69095508,1.205
2021-09-24,1.2296,1.0693,1.1368,1.134,1.1365,1.1371,1150096.04789509,1.2138
2021-09-25,1.1425,1.0862,1.118,1.118,1.1171,1.1189,153176.38375258,1.134
2021-09-26,1.1634,1.0359,1.1195,1.1209,1.1193,1.1197,531714.93306853,1.118
2021-09-27,1.1682,1.0921,1.09735,1.1012,1.0971,1.0976,116238.46329842,1.1209
2021-09-28,1.1116,1.05,1.0557,1.0568,1.0553,1.0561,101731.33157211,1.1012
2021-09-29,1.1101,1.0464,1.0942,1.0954,1.0939,1.0945,258337.61174596,1.0568
2021-09-30,1.1488,1.093,1.12275,1.1243,1.1224,1.1231,115810.85314343,1.0954
2021-10-01,1.2622,1.125,1.2512,1.2476,1.2507,1.2517,237444.25375741,1.1243
2021-10-02,1.3546,1.2248,1.3382,1.3348,1.3378,1.3386,274975.80655652,1.2476
2021-10-03,1.3439,1.278,1.3127,1.3127,1.3124,1.313,277049.59424057,1.3348
2021-10-04,1.3276,1.2384,1.2764,1.2733,1.2759,1.2769,395416.89939402,1.3127
2021-10-05,1.335,1.2684,1.3129,1.3142,1.3126,1.3132,223538.6301914,1.2733
2021-10-06,1.3186,1.2073,1.26765,1.2606,1.2672,1.2681,273199.49619161,1.3142
2021-10-07,1.309,1.2305,1.2743,1.2762,1.2738,1.2748,226567.05025151,1.2606
2021-10-08,1.4366,1.27,1.34835,1.3485,1.3481,1.3486,395772.29755261,1.2762
2021-10-09,1.3798,1.331,1.35355,1.3523,1.3528,1.3543,157405.68625641,1.3485
2021-10-10,1.3571,1.2478,1.26085,1.2617,1.2604,1.2613,208484.43839929,1.3523
2021-10-11,1.3073,1.2174,1.2341,1.2363,1.2334,1.2348,186046.95733465,1.2617
2021-10-12,1.2415,1.155,1.22695,1.2281,1.2266,1.2273,295546.90378161,1.2363
2021-10-13,1.2612,1.1932,1.2356,1.2374,1.2351,1.2361,312642.4061998,1.2281
2021-10-14,1.287,1.2338,1.2619,1.2635,1.2614,1.2624,281082.14667813,1.2374
2021-10-15,1.6333,1.2357,1.535,1.526,1.5334,1.5366,2424641.12169053,1.2635
2021-10-16,1.609,1.4972,1.5097,1.511,1.5092,1.5102,754217.75832587,1.526
2021-10-17,1.5456,1.414,1.44455,1.4427,1.4439,1.4452,396248.68997751,1.511
2021-10-18,1.6118,1.4403,1.48675,1.4814,1.4857,1.4878,1164144.88271395,1.4427
2021-10-19,1.5242,1.4375,1.4758,1.4784,1.4748,1.4768,186568.80578634,1.4814
2021-10-20,1.5482,1.4498,1.52245,1.5223,1.522,1.5229,337043.23757473,1.4784
2021-10-21,1.6283,1.48,1.51255,1.5126,1.5119,1.5132,934063.55243415,1.5223
2021-10-22,1.5767,1.493,1.50935,1.5091,1.5089,1.5098,432840.24334081,1.5126
2021-10-23,1.6724,1.4992,1.6397,1.647,1.6389,1.6405,811018.53821505,1.5091
2021-10-24,1.6436,1.527,1.57895,1.5752,1.5785,1.5794,2257273.48735732,1.647
2021-10-25,1.6814,1.5626,1.65915,1.6579,1.6589,1.6594,851088.0302677801,1.5752
2021-10-26,1.8545,1.6577,1.7392,1.7396,1.7387,1.7397,711559.3179614,1.6579
2021-10-27,1.9338,1.6129,1.79225,1.7966,1.7917,1.7928,1963995.37240994,1.7396
2021-10-28,2.0932,1.7578,2.0935,2.0929,2.0928,2.0942,1598503.16467598,1.7966
