,0
1986-01-08,4140.0
1986-01-15,5032.0
1986-01-22,13856.0
1986-01-29,17487.0
1986-02-05,12475.0
1986-02-12,6854.0
1986-02-19,6167.0
1986-02-26,6922.0
1986-03-05,4477.0
1986-03-12,3496.0
1986-03-19,3044.0
1986-03-26,3610.0
1986-04-02,2926.0
1986-04-09,3365.0
1986-04-16,3393.0
1986-04-23,2221.0
1986-04-30,6769.0
1986-05-07,7246.0
1986-05-14,4591.0
1986-05-21,3972.0
1986-05-28,3580.0
1986-06-04,2687.0
1986-06-11,2475.0
1986-06-18,3075.0
1986-06-25,3428.0
1986-07-02,2790.0
1986-07-09,3036.0
1986-07-16,3992.0
1986-07-23,3633.0
1986-07-30,3862.0
1986-08-06,3524.0
1986-08-13,3695.0
1986-08-20,3454.0
1986-08-27,3284.0
1986-09-03,2095.0
1986-09-10,3424.0
1986-09-17,4098.0
1986-09-24,7625.0
1986-10-01,8630.0
1986-10-08,3424.0
1986-10-15,2701.0
1986-10-22,3552.0
1986-10-29,3332.0
1986-11-05,2919.0
1986-11-12,3730.0
1986-11-19,3696.0
1986-11-26,2474.0
1986-12-03,2606.0
1986-12-10,2794.0
1986-12-17,3524.0
1986-12-24,3391.0
1986-12-31,5340.0
1987-01-07,5959.0
1987-01-14,4306.0
1987-01-21,9302.0
1987-01-28,16853.0
1987-02-04,12895.0
1987-02-11,3832.0
1987-02-18,4271.0
1987-02-25,4208.0
1987-03-04,3328.0
1987-03-11,3391.0
1987-03-18,3255.0
1987-03-25,2865.0
1987-04-01,3025.0
1987-04-08,3923.0
1987-04-15,3815.0
1987-04-22,4758.0
1987-04-29,13312.0
1987-05-06,22844.0
1987-05-13,21006.0
1987-05-20,14940.0
1987-05-27,12684.0
1987-06-03,5067.0
1987-06-10,3712.0
1987-06-17,3879.0
1987-06-24,14570.0
1987-07-01,15561.0
1987-07-08,4985.0
1987-07-15,5685.0
1987-07-22,5316.0
1987-07-29,3872.0
1987-08-05,5261.0
1987-08-12,3106.0
1987-08-19,3174.0
1987-08-26,3116.0
1987-09-02,3496.0
1987-09-09,3698.0
1987-09-16,4207.0
1987-09-23,21647.0
1987-09-30,14355.0
1987-10-07,5341.0
1987-10-14,3281.0
1987-10-21,12191.0
1987-10-28,13822.0
1987-11-04,7367.0
1987-11-11,3958.0
1987-11-18,3836.0
1987-11-25,3325.0
1987-12-02,3403.0
1987-12-09,3792.0
1987-12-16,4817.0
1987-12-23,4219.0
1987-12-30,3719.0
1988-01-06,4773.0
1988-01-13,4773.0
1988-01-20,4773.0
1988-01-27,4773.0
1988-02-03,4773.0
1988-02-10,4773.0
1988-02-17,4773.0
1988-02-24,4773.0
1988-03-02,4773.0
1988-03-09,4773.0
1988-03-16,4773.0
1988-03-23,4773.0
1988-03-30,4773.0
1988-04-06,4773.0
1988-04-13,4773.0
1988-04-20,4773.0
1988-04-27,4773.0
1988-05-04,4773.0
1988-05-11,4773.0
1988-05-18,4773.0
1988-05-25,4773.0
1988-06-01,4773.0
1988-06-08,4773.0
1988-06-15,4773.0
1988-06-22,4773.0
1988-06-29,4773.0
1988-07-06,4773.0
1988-07-13,4773.0
1988-07-20,4773.0
1988-07-27,4773.0
1988-08-03,4773.0
1988-08-10,4773.0
1988-08-17,4773.0
1988-08-24,4773.0
1988-08-31,4773.0
1988-09-07,4773.0
1988-09-14,4773.0
1988-09-21,4773.0
1988-09-28,4773.0
1988-10-05,4773.0
1988-10-12,4773.0
1988-10-19,4773.0
1988-10-26,4773.0
1988-11-02,4773.0
1988-11-09,4773.0
1988-11-16,4773.0
1988-11-23,4773.0
1988-11-30,4773.0
1988-12-07,4773.0
1988-12-14,4773.0
1988-12-21,4773.0
1988-12-28,4773.0
1989-01-04,4773.0
1989-01-11,4773.0
1989-01-18,4773.0
1989-01-25,4773.0
1989-02-01,4773.0
1989-02-08,4773.0
1989-02-15,4773.0
1989-02-22,4773.0
1989-03-01,4773.0
1989-03-08,4773.0
1989-03-15,4773.0
1989-03-22,4220.0
1989-03-29,5950.0
1989-04-05,4824.0
1989-04-12,6463.0
1989-04-19,6963.0
1989-04-26,8119.999999999999
1989-05-03,21985.0
1989-05-10,23141.0
1989-05-17,16166.0
1989-05-24,8706.0
1989-05-31,5154.0
1989-06-07,5665.0
1989-06-14,5397.0
1989-06-21,9274.0
1989-06-28,18343.0
1989-07-05,11214.0
1989-07-12,6308.0
1989-07-19,5155.0
1989-07-26,5025.0
1989-08-02,5149.0
1989-08-09,5542.0
1989-08-16,5747.0
1989-08-23,4662.0
1989-08-30,5680.0
1989-09-06,4819.0
1989-09-13,4549.0
1989-09-20,6486.0
1989-09-27,12316.0
1989-10-04,10691.0
1989-10-11,5103.0
1989-10-18,6154.0
1989-10-25,5389.0
1989-11-01,6436.0
1989-11-08,5361.0
1989-11-15,4757.0
1989-11-22,4449.0
1989-11-29,5093.0
1989-12-06,5162.0
1989-12-13,4475.0
1989-12-20,4402.0
1989-12-27,4571.0
1990-01-03,6283.0
1990-01-10,5416.0
1990-01-17,4108.0
1990-01-24,5930.0
1990-01-31,9550.0
1990-02-07,6106.0
1990-02-14,6446.0
1990-02-21,4783.0
1990-02-28,6133.0
1990-03-07,6193.0
1990-03-14,4928.0
1990-03-21,5001.0
1990-03-28,5506.0
1990-04-04,4455.0
1990-04-11,4745.0
1990-04-18,4981.0
1990-04-25,4022.0000000000005
1990-05-02,4543.0
1990-05-09,4841.0
1990-05-16,5037.0
1990-05-23,5274.0
1990-05-30,4562.0
1990-06-06,5185.0
1990-06-13,4574.0
1990-06-20,5003.0
1990-06-27,5364.0
1990-07-04,5580.0
1990-07-11,5973.0
1990-07-18,5108.0
1990-07-25,5082.0
1990-08-01,5328.0
1990-08-08,5763.0
1990-08-15,5288.0
1990-08-22,5501.0
1990-08-29,5219.0
1990-09-05,5368.0
1990-09-12,4690.0
1990-09-19,7570.0
1990-09-26,6666.0
1990-10-03,7701.0
1990-10-10,4461.0
1990-10-17,5505.0
1990-10-24,4931.0
1990-10-31,6274.0
1990-11-07,6519.0
1990-11-14,5471.0
1990-11-21,5375.0
1990-11-28,4894.0
1990-12-05,5651.0
1990-12-12,4148.0
1990-12-19,5406.0
1990-12-26,6810.0
1991-01-02,7987.0
1991-01-09,6906.0
1991-01-16,5320.0
1991-01-23,5494.0
1991-01-30,14064.0
1991-02-06,11182.0
1991-02-13,11187.0
1991-02-20,9728.0
1991-02-27,13345.0
1991-03-06,9192.0
1991-03-13,5869.0
1991-03-20,4801.0
1991-03-27,6131.0
1991-04-03,8352.0
1991-04-10,4796.0
1991-04-17,3780.0
1991-04-24,5509.0
1991-05-01,5746.0
1991-05-08,5222.0
1991-05-15,4931.0
1991-05-22,5583.0
1991-05-29,4644.0
1991-06-05,5942.0
1991-06-12,5158.0
1991-06-19,5977.0
1991-06-26,5745.0
1991-07-03,9507.0
1991-07-10,7081.0
1991-07-17,6646.0
1991-07-24,6033.0
1991-07-31,6470.0
1991-08-07,5808.0
1991-08-14,6028.0
1991-08-21,5138.0
1991-08-28,5196.0
1991-09-04,6260.0
1991-09-11,5809.0
1991-09-18,8321.0
1991-09-25,9908.0
1991-10-02,8398.0
1991-10-09,5260.0
1991-10-16,4486.0
1991-10-23,6493.0
1991-10-30,5130.0
1991-11-06,7908.0
1991-11-13,5832.0
1991-11-20,5596.0
1991-11-27,5281.0
1991-12-04,5921.0
1991-12-11,5191.0
1991-12-18,5838.0
1991-12-25,9723.0
1992-01-01,13005.0
1992-01-08,6147.0
1992-01-15,5455.0
1992-01-22,6072.0
1992-01-29,8853.0
1992-02-05,8599.0
1992-02-12,6584.0
1992-02-19,5874.0
1992-02-26,5139.0
1992-03-04,5563.0
1992-03-11,5245.0
1992-03-18,5906.0
1992-03-25,5724.0
1992-04-01,5184.0
1992-04-08,5438.0
1992-04-15,4435.0
1992-04-22,5178.0
1992-04-29,4781.0
1992-05-06,4774.0
1992-05-13,5012.0
1992-05-20,5070.0
1992-05-27,5438.0
1992-06-03,5540.0
1992-06-10,4916.0
1992-06-17,6657.0
1992-06-24,8135.999999999999
1992-07-01,8434.0
1992-07-08,6133.0
1992-07-15,5245.0
1992-07-22,5231.0
1992-07-29,5562.0
1992-08-05,6707.0
1992-08-12,5445.0
1992-08-19,5291.0
1992-08-26,5620.0
1992-09-02,5744.0
1992-09-09,5923.0
1992-09-16,6284.0
1992-09-23,13697.0
1992-09-30,21297.0
1992-10-07,5499.0
1992-10-14,4555.0
1992-10-21,4675.0
1992-10-28,5191.0
1992-11-04,5622.0
1992-11-11,5250.0
1992-11-18,5184.0
1992-11-25,5787.0
1992-12-02,5602.0
1992-12-09,5076.0
1992-12-16,5002.0
1992-12-23,7764.0
1992-12-30,6320.0
1993-01-06,8360.0
1993-01-13,5492.0
1993-01-20,6988.0
1993-01-27,8761.0
1993-02-03,11447.0
1993-02-10,5391.0
1993-02-17,4791.0
1993-02-24,4967.0
1993-03-03,6017.0
1993-03-10,5395.0
1993-03-17,5563.0
1993-03-24,5026.0
1993-03-31,5243.0
1993-04-07,5723.0
1993-04-14,5348.0
1993-04-21,8135.0
1993-04-28,4770.0
1993-05-05,6116.0
1993-05-12,5646.0
1993-05-19,5937.0
1993-05-26,6110.0
1993-06-02,5984.0
1993-06-09,4468.0
1993-06-16,5364.0
1993-06-23,9667.0
1993-06-30,16256.0
1993-07-07,6833.0
1993-07-14,6822.0
1993-07-21,6065.0
1993-07-28,5435.0
1993-08-04,5934.0
1993-08-11,5661.0
1993-08-18,5675.0
1993-08-25,5970.0
1993-09-01,5544.0
1993-09-08,5949.0
1993-09-15,5117.0
1993-09-22,16981.0
1993-09-29,10104.0
1993-10-06,7518.0
1993-10-13,5179.0
1993-10-20,5755.0
1993-10-27,5130.0
1993-11-03,5989.0
1993-11-10,5059.0
1993-11-17,5605.0
1993-11-24,5971.0
1993-12-01,5416.0
1993-12-08,4482.0
1993-12-15,5165.0
1993-12-22,8264.0
1993-12-29,7116.0
1994-01-05,9813.0
1994-01-12,4035.0
1994-01-19,5647.0
1994-01-26,8778.0
1994-02-02,13224.0
1994-02-09,5960.0
1994-02-16,4691.0
1994-02-23,5985.0
1994-03-02,4435.0
1994-03-09,5222.0
1994-03-16,5463.0
1994-03-23,4971.0
1994-03-30,4847.0
1994-04-06,6073.0
1994-04-13,3965.0
1994-04-20,6568.0
1994-04-27,5473.0
1994-05-04,8992.0
1994-05-11,6067.0
1994-05-18,5997.0
1994-05-25,5287.0
1994-06-01,4683.0
1994-06-08,4993.0
1994-06-15,4826.0
1994-06-22,7064.0
1994-06-29,7561.0
1994-07-06,5917.0
1994-07-13,6031.0
1994-07-20,4581.0
1994-07-27,5373.0
1994-08-03,5046.0
1994-08-10,5422.0
1994-08-17,4780.0
1994-08-24,5208.0
1994-08-31,5029.0
1994-09-07,4514.0
1994-09-14,5576.0
1994-09-21,7367.0
1994-09-28,6195.0
1994-10-05,6150.0
1994-10-12,5594.0
1994-10-19,5112.0
1994-10-26,5078.0
1994-11-02,6119.0
1994-11-09,5503.0
1994-11-16,5225.0
1994-11-23,4821.0
1994-11-30,5351.0
1994-12-07,4337.0
1994-12-14,6044.0
1994-12-21,6697.0
1994-12-28,6973.0
1995-01-04,7148.0
1995-01-11,7421.0
1995-01-18,6525.0
1995-01-25,5919.0
1995-02-01,8630.0
1995-02-08,6864.0
1995-02-15,4789.0
1995-02-22,5707.0
1995-03-01,5177.0
1995-03-08,5158.0
1995-03-15,5175.0
1995-03-22,6000.0
1995-03-29,4600.0
1995-04-05,5138.0
1995-04-12,4978.0
1995-04-19,6178.0
1995-04-26,7065.0
1995-05-03,9402.0
1995-05-10,4876.0
1995-05-17,5582.0
1995-05-24,4823.0
1995-05-31,5320.0
1995-06-07,4424.0
1995-06-14,5286.0
1995-06-21,11241.0
1995-06-28,6977.0
1995-07-05,13727.0
1995-07-12,5767.0
1995-07-19,5568.0
1995-07-26,5616.0
1995-08-02,6377.0
1995-08-09,5134.0
1995-08-16,5221.0
1995-08-23,5541.0
1995-08-30,4923.0
1995-09-06,5083.0
1995-09-13,4903.0
1995-09-20,10002.0
1995-09-27,6651.0
1995-10-04,6829.0
1995-10-11,5630.0
1995-10-18,4941.0
1995-10-25,5275.0
1995-11-01,5228.0
1995-11-08,4948.0
1995-11-15,6024.0
1995-11-22,5125.0
1995-11-29,5614.0
1995-12-06,5942.0
1995-12-13,5559.0
1995-12-20,8633.0
1995-12-27,7169.0
1996-01-03,6306.0
1996-01-10,5313.0
1996-01-17,5548.0
1996-01-24,7218.0
1996-01-31,6963.0
1996-02-07,5493.0
1996-02-14,5204.0
1996-02-21,5137.0
1996-02-28,3883.0
1996-03-06,4312.0
1996-03-13,5507.0
1996-03-20,7235.0
1996-03-27,5048.0
1996-04-03,6017.0
1996-04-10,5986.0
1996-04-17,7655.0
1996-04-24,8251.0
1996-05-01,8709.0
1996-05-08,6537.0
1996-05-15,5673.0
1996-05-22,5127.0
1996-05-29,5175.0
1996-06-05,4276.0
1996-06-12,5697.0
1996-06-19,6022.0
1996-06-26,7184.0
1996-07-03,6417.0
1996-07-10,5277.0
1996-07-17,5464.0
1996-07-24,5260.0
1996-07-31,5384.0
1996-08-07,5069.0
1996-08-14,4781.0
1996-08-21,5129.0
1996-08-28,5272.0
1996-09-04,5347.0
1996-09-11,4669.0
1996-09-18,5754.0
1996-09-25,7620.0
1996-10-02,6815.0
1996-10-09,4529.0
1996-10-16,4885.0
1996-10-23,5414.0
1996-10-30,5228.0
1996-11-06,5013.0
1996-11-13,4905.0
1996-11-20,5039.0
1996-11-27,4996.0
1996-12-04,4509.0
1996-12-11,4926.0
1996-12-18,7169.0
1996-12-25,5694.0
1997-01-01,6326.0
1997-01-08,4479.0
1997-01-15,5512.0
1997-01-22,6524.0
1997-01-29,7896.0
1997-02-05,6207.0
1997-02-12,4829.0
1997-02-19,5002.0
1997-02-26,4425.0
1997-03-05,5149.0
1997-03-12,5169.0
1997-03-19,7479.0
1997-03-26,5376.0
1997-04-02,5535.0
1997-04-09,4826.0
1997-04-16,7837.0
1997-04-23,8660.0
1997-04-30,32937.0
1997-05-07,23899.0
1997-05-14,14661.0
1997-05-21,5176.0
1997-05-28,5053.0
1997-06-04,4993.0
1997-06-11,5254.0
1997-06-18,6831.0
1997-06-25,11868.0
1997-07-02,12577.0
1997-07-09,3902.0
1997-07-16,4919.0
1997-07-23,5212.0
1997-07-30,4877.0
1997-08-06,5196.0
1997-08-13,4965.0
1997-08-20,4444.0
1997-08-27,4866.0
1997-09-03,5131.0
1997-09-10,4712.0
1997-09-17,6807.0
1997-09-24,6949.0
1997-10-01,6687.0
1997-10-08,5402.0
1997-10-15,5110.0
1997-10-22,5527.0
1997-10-29,5868.0
1997-11-05,5225.0
1997-11-12,5338.0
1997-11-19,5059.0
1997-11-26,5002.0
1997-12-03,4762.0
1997-12-10,4529.0
1997-12-17,6330.0
1997-12-24,5001.0
1997-12-31,4758.0
1998-01-07,5031.0
1998-01-14,5253.0
1998-01-21,9148.0
1998-01-28,6976.0
1998-02-04,5696.0
1998-02-11,5062.0
1998-02-18,4969.0
1998-02-25,4400.0
1998-03-04,5447.0
1998-03-11,4867.0
1998-03-18,6294.0
1998-03-25,5181.0
1998-04-01,5033.0
1998-04-08,5044.0
1998-04-15,6218.0
1998-04-22,7894.0
1998-04-29,17944.0
1998-05-06,8442.0
1998-05-13,6055.0
1998-05-20,5428.0
1998-05-27,5179.0
1998-06-03,5341.0
1998-06-10,5031.0
1998-06-17,6982.0
1998-06-24,12769.0
1998-07-01,18717.0
1998-07-08,5956.0
1998-07-15,5171.0
1998-07-22,5155.0
1998-07-29,5115.0
1998-08-05,5234.0
1998-08-12,4839.0
1998-08-19,5450.0
1998-08-26,4905.0
1998-09-02,5400.0
1998-09-09,5396.0
1998-09-16,5869.0
1998-09-23,7144.0
1998-09-30,6989.0
1998-10-07,5779.0
1998-10-14,5480.0
1998-10-21,5322.0
1998-10-28,5326.0
1998-11-04,5030.0
1998-11-11,5256.0
1998-11-18,4801.0
1998-11-25,5026.0
1998-12-02,5304.0
1998-12-09,5035.0
1998-12-16,6324.0
1998-12-23,5434.0
1998-12-30,7195.0
1999-01-06,5992.0
1999-01-13,5423.0
1999-01-20,7296.0
1999-01-27,6963.0
1999-02-03,6876.0
1999-02-10,4865.0
1999-02-17,4223.0
1999-02-24,4998.0
1999-03-03,4974.0
1999-03-10,5087.0
1999-03-17,6313.0
1999-03-24,5309.0
1999-03-31,5160.0
1999-04-07,5644.0
1999-04-14,4853.0
1999-04-21,6790.0
1999-04-28,7182.0
1999-05-05,7888.0
1999-05-12,5307.0
1999-05-19,5157.0
1999-05-26,4888.0
1999-06-02,4897.0
1999-06-09,4855.0
1999-06-16,5449.0
1999-06-23,7023.0
1999-06-30,6823.0
1999-07-07,5766.0
1999-07-14,5264.0
1999-07-21,5056.0
1999-07-28,4901.0
1999-08-04,5105.0
1999-08-11,5100.0
1999-08-18,5080.0
1999-08-25,4851.0
1999-09-01,5403.0
1999-09-08,5113.0
1999-09-15,5480.0
