,0
2012-11-19,1386890.0
2012-11-20,1387810.0
2012-11-21,1391030.0
2012-11-22,
2012-11-23,1409150.0
2012-11-26,1406290.0
2012-11-27,1398940.0
2012-11-28,1409930.0
2012-11-29,1415950.0
2012-11-30,1416180.0
2012-12-03,1409460.0
2012-12-04,1407050.0
2012-12-05,1409280.0
2012-12-06,1413940.0
2012-12-07,1418070.0
2012-12-10,1418550.0
2012-12-11,1427840.0
2012-12-12,1428480.0
2012-12-13,1419450.0
2012-12-14,1413580.0
2012-12-17,1430360.0
2012-12-18,1446790.0
2012-12-19,1435810.0
2012-12-20,1443690.0
2012-12-21,1430150.0
2012-12-24,1426660.0
2012-12-25,
2012-12-26,1419830.0
2012-12-27,1418100.0
2012-12-28,1402430.0
2012-12-31,1426190.0
2013-01-01,
2013-01-02,1462420.0
2013-01-03,1459370.0
2013-01-04,1466470.0
2013-01-07,1461890.0
2013-01-08,1457150.0
2013-01-09,1461020.0
2013-01-10,1472120.0
2013-01-11,1472050.0
2013-01-14,1470680.0
2013-01-15,1472340.0
2013-01-16,1472630.0
2013-01-17,1480940.0
2013-01-18,1485980.0
2013-01-21,
2013-01-22,1492560.0
2013-01-23,1494810.0
2013-01-24,1494820.0
2013-01-25,1502960.0
2013-01-28,1500180.0
2013-01-29,1507840.0
2013-01-30,1501960.0
2013-01-31,1498110.0
2013-02-01,1513170.0
2013-02-04,1495710.0
2013-02-05,1511290.0
2013-02-06,1512120.0
2013-02-07,1509390.0
2013-02-08,1517930.0
2013-02-11,1517010.0
2013-02-12,1519430.0
2013-02-13,1520330.0
2013-02-14,1521380.0
2013-02-15,1519790.0
2013-02-18,
2013-02-19,1530940.0
2013-02-20,1511950.0
2013-02-21,1502420.0
2013-02-22,1515600.0
2013-02-25,1487850.0
2013-02-26,1496940.0
2013-02-27,1515990.0
2013-02-28,1514680.0
2013-03-01,1518200.0
2013-03-04,1525200.0
2013-03-05,1539790.0
2013-03-06,1541460.0
2013-03-07,1544260.0
2013-03-08,1551180.0
2013-03-11,1556220.0
2013-03-12,1552480.0
2013-03-13,1554520.0
2013-03-14,1563230.0
2013-03-15,1560700.0
2013-03-18,1552100.0
2013-03-19,1548340.0
2013-03-20,1558710.0
2013-03-21,1545800.0
2013-03-22,1556890.0
2013-03-25,1551690.0
2013-03-26,1563770.0
2013-03-27,1562850.0
2013-03-28,1569190.0
2013-03-29,
2013-04-01,1562170.0
2013-04-02,1570250.0
2013-04-03,1553690.0
2013-04-04,1559980.0
2013-04-05,1553280.0
2013-04-08,1563070.0
2013-04-09,1568610.0
2013-04-10,1587730.0
2013-04-11,1593370.0
2013-04-12,1588850.0
2013-04-15,1552360.0
2013-04-16,1574570.0
2013-04-17,1552010.0
2013-04-18,1541610.0
2013-04-19,1555250.0
2013-04-22,1562500.0
2013-04-23,1578780.0
2013-04-24,1578790.0
2013-04-25,1585160.0
2013-04-26,1582240.0
2013-04-29,1593610.0
2013-04-30,1597570.0
2013-05-01,1582700.0
2013-05-02,1597590.0
2013-05-03,1614420.0
2013-05-06,1617500.0
2013-05-07,1625960.0
2013-05-08,1632690.0
2013-05-09,1626670.0
2013-05-10,1633700.0
2013-05-13,1633770.0
2013-05-14,1650340.0
2013-05-15,1658780.0
2013-05-16,1650470.0
2013-05-17,1667470.0
2013-05-20,1666290.0
2013-05-21,1669160.0
2013-05-22,1655350.0
2013-05-23,1650510.0
2013-05-24,1649600.0
2013-05-27,
2013-05-28,1660060.0
2013-05-29,1648360.0
2013-05-30,1654410.0
2013-05-31,1630740.0
2013-06-03,1640420.0
2013-06-04,1631380.0
2013-06-05,1608900.0
2013-06-06,1622560.0
2013-06-07,1643380.0
2013-06-10,1642810.0
2013-06-11,1626130.0
2013-06-12,1612520.0
2013-06-13,1636360.0
2013-06-14,1626730.0
2013-06-17,1639040.0
2013-06-18,1651810.0
2013-06-19,1628930.0
2013-06-20,1588190.0
2013-06-21,1592430.0
2013-06-24,1573090.0
2013-06-25,1588030.0
2013-06-26,1603260.0
2013-06-27,1613200.0
2013-06-28,1606280.0
2013-07-01,1614960.0
2013-07-02,1614080.0
2013-07-03,1615410.0
2013-07-04,
2013-07-05,1631890.0
2013-07-08,1640460.0
2013-07-09,1652320.0
2013-07-10,1652620.0
2013-07-11,1675020.0
2013-07-12,1680190.0
2013-07-15,1682500.0
2013-07-16,1676260.0
2013-07-17,1680910.0
2013-07-18,1689370.0
2013-07-19,1692090.0
2013-07-22,1695530.0
2013-07-23,1692390.0
2013-07-24,1685940.0
2013-07-25,1690250.0
2013-07-26,1691650.0
2013-07-29,1685330.0
2013-07-30,1685960.0
2013-07-31,1685730.0
2013-08-01,1706870.0
2013-08-02,1709670.0
2013-08-05,1707140.0
2013-08-06,1697370.0
2013-08-07,1690910.0
2013-08-08,1697480.0
2013-08-09,1691420.0
2013-08-12,1689470.0
2013-08-13,1694160.0
2013-08-14,1685390.0
2013-08-15,1661320.0
2013-08-16,1655830.0
2013-08-19,1646060.0
2013-08-20,1652350.0
2013-08-21,1642800.0
2013-08-22,1656960.0
2013-08-23,1663500.0
2013-08-26,1656780.0
2013-08-27,1630480.0
2013-08-28,1634960.0
2013-08-29,1638170.0
2013-08-30,1632970.0
2013-09-02,
2013-09-03,1639770.0
2013-09-04,1653080.0
2013-09-05,1655080.0
2013-09-06,1655170.0
2013-09-09,1671710.0
2013-09-10,1683990.0
2013-09-11,1689130.0
2013-09-12,1683420.0
2013-09-13,1687990.0
2013-09-16,1697600.0
2013-09-17,1704760.0
2013-09-18,1725520.0
2013-09-19,1722340.0
2013-09-20,1709910.0
2013-09-23,1701840.0
2013-09-24,1697420.0
2013-09-25,1692770.0
2013-09-26,1698670.0
2013-09-27,1691750.0
2013-09-30,1681550.0
2013-10-01,1695000.0
2013-10-02,1693870.0
2013-10-03,1678660.0
2013-10-04,1690500.0
2013-10-07,1676120.0
2013-10-08,1655450.0
2013-10-09,1656400.0
2013-10-10,1692560.0
2013-10-11,1703200.0
2013-10-14,1710140.0
2013-10-15,1698060.0
2013-10-16,1721540.0
2013-10-17,1733150.0
2013-10-18,1744500.0
2013-10-21,1744660.0
2013-10-22,1754670.0
2013-10-23,1746380.0
2013-10-24,1752070.0
2013-10-25,1759770.0
2013-10-28,1762110.0
2013-10-29,1771950.0
2013-10-30,1763310.0
2013-10-31,1756540.0
2013-11-01,1761640.0
2013-11-04,1767930.0
2013-11-05,1762970.0
2013-11-06,1770490.0
2013-11-07,1747150.0
2013-11-08,1770610.0
2013-11-11,1771890.0
2013-11-12,1767690.0
2013-11-13,1782000.0
2013-11-14,1790620.0
2013-11-15,1798180.0
2013-11-18,1791530.0
2013-11-19,1787870.0
2013-11-20,1781370.0
2013-11-21,1795850.0
2013-11-22,1804760.0
2013-11-25,1802480.0
2013-11-26,1802750.0
2013-11-27,1807230.0
2013-11-28,
2013-11-29,1805810.0
2013-12-02,1800900.0
2013-12-03,1795150.0
2013-12-04,1792810.0
2013-12-05,1785030.0
2013-12-06,1805090.0
2013-12-09,1808370.0
2013-12-10,1802620.0
2013-12-11,1782220.0
2013-12-12,1775500.0
2013-12-13,1775320.0
2013-12-16,1786540.0
2013-12-17,1781000.0
2013-12-18,1810650.0
2013-12-19,1809600.0
2013-12-20,1818320.0
2013-12-23,1827990.0
2013-12-24,1833320.0
2013-12-25,
2013-12-26,1842020.0
2013-12-27,1841400.0
2013-12-30,1841070.0
2013-12-31,1848360.0
2014-01-01,
2014-01-02,1831980.0
2014-01-03,1831370.0
2014-01-06,1826770.0
2014-01-07,1837880.0
2014-01-08,1837490.0
2014-01-09,1838130.0
2014-01-10,1842370.0
2014-01-13,1819200.0
2014-01-14,1838880.0
2014-01-15,1848380.0
2014-01-16,1845890.0
2014-01-17,1838700.0
2014-01-20,
2014-01-21,1843800.0
2014-01-22,1844860.0
2014-01-23,1828460.0
2014-01-24,1790290.0
2014-01-27,1781560.0
2014-01-28,1792500.0
2014-01-29,1774200.0
2014-01-30,1794190.0
2014-01-31,1782590.0
2014-02-03,1741890.0
2014-02-04,1755200.0
2014-02-05,1751640.0
2014-02-06,1773430.0
2014-02-07,1797020.0
2014-02-10,1799840.0
2014-02-11,1819750.0
2014-02-12,1819260.0
2014-02-13,1829830.0
2014-02-14,1838630.0
2014-02-17,
2014-02-18,1840760.0
2014-02-19,1828750.0
2014-02-20,1839780.0
2014-02-21,1836250.0
2014-02-24,1847610.0
2014-02-25,1845120.0
2014-02-26,1845160.0
2014-02-27,1854290.0
2014-02-28,1859450.0
2014-03-03,1845730.0
2014-03-04,1873910.0
2014-03-05,1873810.0
2014-03-06,1877030.0
2014-03-07,1878040.0
2014-03-10,1877170.0
2014-03-11,1867630.0
2014-03-12,1868200.0
2014-03-13,1846340.0
2014-03-14,1841130.0
2014-03-17,1858830.0
2014-03-18,1872250.0
2014-03-19,1860770.0
2014-03-20,1872010.0
2014-03-21,1866520.0
2014-03-24,1857440.0
2014-03-25,1865620.0
2014-03-26,1852560.0
2014-03-27,1849040.0
2014-03-28,1857620.0
2014-03-31,1872340.0
2014-04-01,1885520.0
2014-04-02,1890900.0
2014-04-03,1888770.0
2014-04-04,1865090.0
2014-04-07,1845040.0
2014-04-08,1851960.0
2014-04-09,1872180.0
2014-04-10,1833080.0
2014-04-11,1815690.0
2014-04-14,1830610.0
2014-04-15,1842980.0
2014-04-16,1862310.0
2014-04-17,1864850.0
2014-04-18,
2014-04-21,1871890.0
2014-04-22,1879550.0
2014-04-23,1875390.0
2014-04-24,1878610.0
2014-04-25,1863400.0
2014-04-28,1869430.0
2014-04-29,1878330.0
2014-04-30,1883950.0
2014-05-01,1883680.0
2014-05-02,1881140.0
2014-05-05,1884660.0
2014-05-06,1867720.0
2014-05-07,1878210.0
2014-05-08,1875630.0
2014-05-09,1878480.0
2014-05-12,1896650.0
2014-05-13,1897450.0
2014-05-14,1888530.0
2014-05-15,1870850.0
2014-05-16,1877860.0
2014-05-19,1885080.0
2014-05-20,1872830.0
2014-05-21,1888030.0
2014-05-22,1892490.0
2014-05-23,1900530.0
2014-05-26,
2014-05-27,1911910.0
2014-05-28,1909780.0
2014-05-29,1920030.0
2014-05-30,1923570.0
2014-06-02,1924970.0
2014-06-03,1924240.0
2014-06-04,1927880.0
2014-06-05,1940460.0
2014-06-06,1949440.0
2014-06-09,1951270.0
2014-06-10,1950790.0
2014-06-11,1943890.0
2014-06-12,1930110.0
2014-06-13,1936160.0
2014-06-16,1937780.0
2014-06-17,1941990.0
2014-06-18,1956980.0
2014-06-19,1959480.0
2014-06-20,1962870.0
2014-06-23,1962610.0
2014-06-24,1949980.0
